Timestamp,Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,Age_Group
2014-08-27 11:34:00,29,Female,United States,IL,Unknown,Yes,Yes,Rarely,26-100,No,Yes,Yes,Don't Know,No,No,Don't Know,somewhat easy,No,No,Yes,some,Don't Know,Don't Know,Don't Know,No,26-35
2014-08-27 11:34:20,23,Male,United Kingdom,Not Applicable,Unknown,No,Yes,Sometimes,26-100,Yes,Yes,Don't Know,No,Don't Know,Don't Know,Don't Know,very easy,Don't Know,No,some,No,Don't Know,Don't Know,No,No,18-25
2014-08-27 11:34:37,32,Male,United States,TN,Unknown,No,Yes,Sometimes,6-25,No,Yes,Yes,Yes,No,Don't Know,Don't Know,Don't Know,Don't Know,No,some,Yes,No,No,No,No,26-35
2014-08-27 11:34:53,46,Male,United States,MD,Yes,Yes,No,Sometimes,1-5,Yes,Yes,Yes,Don't Know,Yes,Don't Know,Yes,very easy,No,No,Yes,Yes,No,Yes,Yes,Yes,46-55
2014-08-27 11:35:08,36,Male,France,Not Applicable,Yes,Yes,No,Not applicable,6-25,Yes,Yes,No,No,Yes,No,Yes,somewhat easy,No,No,some,some,Don't Know,Don't Know,Don't Know,No,36-45
2014-08-27 11:35:12,29,Male,United States,NY,No,Yes,Yes,Sometimes,,No,Yes,Yes,Yes,No,No,No,somewhat difficult,Don't Know,No,some,some,No,No,No,No,26-35
2014-08-27 11:35:24,31,Male,United States,NC,Yes,No,No,Never,1-5,Yes,Yes,No,No,No,No,Yes,somewhat difficult,No,No,some,some,No,Don't Know,Yes,No,26-35
2014-08-27 11:35:48,46,Male,United States,MA,No,No,Yes,Often,26-100,Yes,Yes,Yes,Yes,No,No,Don't Know,Don't Know,Don't Know,No,some,Yes,No,Don't Know,No,No,46-55
2014-08-27 11:36:24,41,Male,United States,IA,No,No,Yes,Never,More than 1000,No,No,Don't Know,No,No,Don't Know,Don't Know,Don't Know,Don't Know,No,No,No,No,Yes,Don't Know,No,36-45
2014-08-27 11:36:48,33,Male,United States,CA,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,Don't Know,Don't Know,Yes,Yes,Don't Know,No,No,Yes,Yes,No,Yes,Don't Know,No,26-35
2014-08-27 11:37:08,35,Male,United States,TN,No,Yes,Yes,Sometimes,More than 1000,No,No,Yes,Yes,No,Don't Know,No,very easy,Yes,No,some,Yes,No,Yes,No,No,36-45
2014-08-27 11:37:23,33,Male,United States,TN,No,No,No,Not applicable,1-5,No,Yes,Don't Know,Don't Know,No,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,some,No,No,No,Don't Know,No,26-35
2014-08-27 11:37:59,35,Female,United States,CA,No,Yes,Yes,Rarely,6-25,Yes,Yes,Yes,Yes,Don't Know,Don't Know,Don't Know,Don't Know,No,No,Yes,Yes,Don't Know,Don't Know,Yes,No,36-45
2014-08-27 11:38:12,34,Male,United States,OH,No,No,Yes,Sometimes,26-100,Yes,Yes,Don't Know,Don't Know,No,Don't Know,Don't Know,somewhat difficult,No,No,some,No,No,No,No,No,26-35
2014-08-27 11:38:18,37,Male,United Kingdom,Not Applicable,No,No,No,Sometimes,6-25,No,Yes,No,No,No,No,Don't Know,very difficult,Yes,Don't Know,some,No,No,Don't Know,No,No,36-45
2014-08-27 11:39:03,32,Male,United Kingdom,Not Applicable,No,No,No,Never,6-25,Yes,Yes,No,No,No,No,Don't Know,Don't Know,Yes,Yes,some,some,No,Don't Know,No,No,26-35
2014-08-27 11:38:55,31,Male,United States,PA,Yes,Yes,No,Rarely,1-5,Yes,Yes,No,Yes,No,No,Don't Know,somewhat difficult,Yes,No,No,No,No,No,No,Yes,26-35
2014-08-27 11:39:31,30,Male,United Kingdom,Not Applicable,No,Yes,Yes,Sometimes,,Yes,Yes,Don't Know,No,No,No,Yes,somewhat easy,Don't Know,No,some,Yes,No,Yes,Don't Know,No,26-35
2014-08-27 11:39:36,42,Male,United States,WA,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,very easy,Don't Know,No,some,some,Don't Know,Yes,Don't Know,No,36-45
2014-08-27 11:40:51,40,Female,United States,WI,No,No,Yes,Sometimes,1-5,No,Yes,Yes,Yes,No,No,Don't Know,Don't Know,Don't Know,No,some,No,No,Don't Know,Yes,No,36-45
2014-08-27 11:41:17,27,Male,United States,NY,No,No,Yes,Rarely,6-25,No,Yes,No,Yes,No,No,Don't Know,very easy,No,No,Yes,Yes,Don't Know,Don't Know,Don't Know,No,26-35
2014-08-27 11:41:37,29,Male,Canada,Not Applicable,No,No,No,Rarely,1-5,No,Yes,No,No,No,No,Don't Know,very easy,Yes,Don't Know,some,No,No,No,Don't Know,No,26-35
2014-08-27 11:41:50,38,Male,Portugal,Not Applicable,No,No,No,Not applicable,,No,Yes,No,Yes,No,No,Don't Know,somewhat easy,Don't Know,No,some,some,No,Don't Know,No,No,36-45
2014-08-27 11:42:08,50,Male,United States,IN,No,No,No,Not applicable,,No,Yes,Yes,Yes,No,Don't Know,Don't Know,Don't Know,No,No,some,Yes,No,Don't Know,Don't Know,No,46-55
2014-08-27 11:42:15,35,Male,United States,TX,No,No,Yes,Rarely,More than 1000,Yes,Yes,Yes,Yes,No,Yes,Yes,very easy,No,No,Yes,Yes,Don't Know,Don't Know,Yes,No,36-45
2014-08-27 11:42:25,24,Male,United Kingdom,Not Applicable,No,No,Yes,Sometimes,6-25,No,Yes,No,No,No,No,Don't Know,Don't Know,Don't Know,Don't Know,some,No,No,Yes,No,Yes,18-25
2014-08-27 11:42:31,35,Male,United States,MI,No,No,No,Not applicable,More than 1000,Yes,Yes,Yes,Don't Know,Don't Know,Yes,Don't Know,somewhat difficult,Yes,Yes,some,No,No,Don't Know,Don't Know,No,36-45
2014-08-27 11:43:07,27,Male,Canada,Not Applicable,No,Yes,Yes,Sometimes,1-5,No,Yes,No,Yes,No,No,Yes,very difficult,Don't Know,No,some,No,No,No,Yes,No,26-35
2014-08-27 11:43:10,18,Male,Netherlands,Not Applicable,No,No,No,Often,6-25,No,Yes,No,Don't Know,No,No,Don't Know,somewhat difficult,Yes,Don't Know,No,some,No,No,No,No,18-25
2014-08-27 11:43:22,30,Male,United States,IN,No,No,Yes,Sometimes,26-100,No,Yes,Don't Know,No,No,No,Don't Know,Don't Know,No,No,No,No,No,Don't Know,Don't Know,No,26-35
2014-08-27 11:43:36,38,Female,United States,TX,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,Yes,No,Yes,Yes,somewhat easy,No,No,some,Yes,No,No,Yes,No,36-45
2014-08-27 11:43:45,28,Male,United Kingdom,Not Applicable,No,No,No,Not applicable,26-100,No,Yes,Don't Know,Don't Know,No,No,Don't Know,Don't Know,No,Don't Know,some,Yes,Don't Know,Yes,Don't Know,No,26-35
2014-08-27 11:43:48,34,Male,United States,TN,No,No,No,Not applicable,6-25,No,Yes,No,No,No,No,Don't Know,Don't Know,No,No,Yes,Yes,Don't Know,Yes,Don't Know,No,26-35
2014-08-27 11:43:56,26,Male,Canada,Not Applicable,Yes,No,No,Sometimes,1-5,No,Yes,No,Yes,Yes,No,Don't Know,Don't Know,No,No,Yes,Yes,No,No,Yes,No,26-35
2014-08-27 11:44:43,30,Male,United States,IL,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,No,No,Don't Know,Don't Know,Don't Know,Don't Know,No,some,Yes,No,No,Don't Know,No,26-35
2014-08-27 11:44:55,22,Male,United States,TX,No,Yes,Yes,Often,6-25,No,Yes,No,Yes,No,No,Yes,very difficult,Don't Know,No,No,No,No,Don't Know,Don't Know,No,18-25
2014-08-27 11:45:32,33,Male,United States,UT,No,No,No,Not applicable,,Yes,Yes,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,No,No,some,Yes,Don't Know,Don't Know,Don't Know,No,26-35
2014-08-27 11:45:33,31,Male,United States,Not Applicable,No,No,No,Not applicable,,Yes,Yes,Don't Know,No,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,some,some,Don't Know,Don't Know,Don't Know,No,26-35
2014-08-27 11:45:51,32,Male,United States,TN,No,No,No,Never,1-5,Yes,Yes,Don't Know,Don't Know,No,No,Don't Know,Don't Know,Don't Know,No,some,Yes,No,No,Don't Know,No,26-35
2014-08-27 11:46:36,28,Male,Switzerland,Not Applicable,No,No,No,Not applicable,,No,Yes,No,No,No,No,Don't Know,Don't Know,No,No,No,No,No,Don't Know,Don't Know,No,26-35
2014-08-27 11:46:49,27,Male,United States,NY,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,Yes,No,No,Yes,Don't Know,Don't Know,No,No,No,No,No,Don't Know,No,26-35
2014-08-27 11:46:55,32,Male,United States,TN,No,Yes,No,Not applicable,6-25,Yes,Yes,Don't Know,No,No,No,Don't Know,somewhat easy,No,No,Yes,Yes,No,No,Yes,No,26-35
2014-08-27 11:47:10,24,Male,United States,NY,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Don't Know,No,No,No,Don't Know,Don't Know,No,Don't Know,some,Yes,Yes,Yes,No,No,18-25
2014-08-27 11:47:33,26,Male,United States,TN,No,No,No,Not applicable,26-100,No,No,No,No,No,No,Yes,somewhat easy,No,No,some,Yes,Don't Know,Yes,Don't Know,No,26-35
2014-08-27 11:47:56,33,Male,Canada,Not Applicable,No,Yes,Yes,Often,6-25,Yes,Yes,Don't Know,No,No,No,No,somewhat difficult,Yes,No,No,No,No,Don't Know,Don't Know,No,26-35
2014-08-27 11:48:57,44,Male,United States,IA,No,Yes,Yes,Sometimes,More than 1000,No,No,Yes,No,No,Don't Know,Don't Know,Don't Know,Yes,Don't Know,some,No,No,Don't Know,Don't Know,Yes,36-45
2014-08-27 11:49:51,26,Female,Poland,Not Applicable,No,No,Yes,Sometimes,26-100,Yes,Yes,Don't Know,Don't Know,Yes,Yes,Yes,very easy,No,No,Yes,Yes,Don't Know,Yes,Yes,No,26-35
2014-08-27 11:50:27,27,Male,United Kingdom,Not Applicable,No,No,No,Never,,No,Yes,Yes,Don't Know,No,Yes,Don't Know,somewhat easy,No,No,Yes,Yes,Don't Know,Don't Know,Yes,No,26-35
2014-08-27 11:50:28,26,Male,France,Not Applicable,No,No,No,Not applicable,26-100,No,Yes,No,No,No,No,Don't Know,very easy,Yes,No,No,No,No,No,No,Yes,26-35
2014-08-27 11:50:46,35,Male,Canada,Not Applicable,No,No,No,Sometimes,6-25,No,Yes,Don't Know,No,No,No,Don't Know,somewhat easy,No,No,some,Yes,No,Don't Know,Don't Know,No,36-45
2014-08-27 11:51:07,40,Male,United States,CA,No,Yes,No,Sometimes,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,Don't Know,Don't Know,Yes,Don't Know,some,No,No,No,No,Yes,36-45
2014-08-27 11:51:34,23,Female,Australia,Not Applicable,No,Yes,Yes,Often,1-5,Yes,Yes,No,Don't Know,No,No,Don't Know,very easy,No,No,some,Yes,No,Don't Know,Yes,No,18-25
2014-08-27 11:52:07,36,Male,United States,TX,No,No,No,Sometimes,,Yes,Yes,Yes,No,Don't Know,Yes,Don't Know,Don't Know,Don't Know,No,some,some,Don't Know,Yes,Yes,No,36-45
2014-08-27 11:52:41,31,Female,United States,NM,No,No,No,Not applicable,26-100,Yes,No,Don't Know,No,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,No,some,No,No,Don't Know,Don't Know,No,26-35
2014-08-27 11:52:44,34,Male,United States,NY,Yes,No,No,Rarely,1-5,Yes,Yes,No,No,No,No,Don't Know,Don't Know,Don't Know,No,some,No,No,No,Don't Know,No,26-35
2014-08-27 11:53:05,28,Male,France,Not Applicable,No,No,No,Never,26-100,No,Yes,No,No,No,No,Don't Know,Don't Know,Don't Know,No,some,some,No,No,Don't Know,No,26-35
2014-08-27 11:53:25,34,Male,Canada,Not Applicable,No,No,No,Never,6-25,No,Yes,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,somewhat easy,No,No,some,Yes,No,No,Don't Know,No,26-35
2014-08-27 11:54:27,23,Transgender,United States,MA,No,No,No,Rarely,More than 1000,No,Yes,Yes,Yes,No,No,Yes,somewhat difficult,Don't Know,No,Yes,Yes,No,No,No,No,18-25
2014-08-27 11:56:17,38,Male,United Kingdom,Not Applicable,No,No,No,Not applicable,26-100,No,Yes,No,No,No,Don't Know,Yes,somewhat easy,No,No,some,Yes,Don't Know,Yes,Yes,No,36-45
2014-08-27 11:56:29,33,Male,United States,CA,No,No,No,Never,More than 1000,No,Yes,Don't Know,Don't Know,Yes,Don't Know,Don't Know,Don't Know,Don't Know,No,some,some,No,Don't Know,Yes,No,26-35
2014-08-27 11:57:30,19,Male,United Kingdom,Not Applicable,No,No,No,Not applicable,1-5,No,Yes,No,Yes,No,No,No,somewhat difficult,Yes,No,No,No,No,Don't Know,No,No,18-25
2014-08-27 11:57:33,25,Male,United States,WA,No,No,No,Not applicable,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,Don't Know,Don't Know,No,No,Yes,Yes,Don't Know,Yes,Yes,No,26-35
2014-08-27 11:57:54,31,Male,United States,WA,Yes,Yes,No,Sometimes,1-5,Yes,Yes,No,No,No,No,Yes,somewhat difficult,No,No,Yes,Yes,Don't Know,Don't Know,Yes,No,26-35
2014-08-27 11:59:31,32,Male,United States,UT,No,Yes,Yes,Sometimes,26-100,Yes,Yes,No,No,No,No,Don't Know,somewhat difficult,Yes,No,some,No,No,Yes,No,No,26-35
2014-08-27 12:00:02,28,Male,Germany,Not Applicable,No,No,No,Never,6-25,Yes,Yes,Don't Know,No,Don't Know,Don't Know,Don't Know,very easy,No,No,some,some,Don't Know,Yes,Yes,No,26-35
2014-08-27 12:01:50,38,Male,United States,NY,No,Yes,No,Sometimes,,Yes,Yes,Yes,Yes,No,Yes,Don't Know,Don't Know,No,No,Yes,some,Don't Know,Don't Know,Yes,No,36-45
2014-08-27 12:02:40,23,Male,United Kingdom,Not Applicable,No,No,No,Never,26-100,No,Yes,Yes,Don't Know,Yes,Don't Know,Don't Know,very easy,No,No,some,Yes,Don't Know,Don't Know,Yes,No,18-25
2014-08-27 12:02:52,30,Male,Canada,Not Applicable,No,No,No,Never,26-100,No,No,No,No,No,No,Don't Know,Don't Know,No,No,some,Yes,No,No,No,No,26-35
2014-08-27 12:03:30,27,Female,United States,NY,Yes,No,Yes,Often,1-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,very easy,Don't Know,Don't Know,some,Yes,No,Don't Know,Yes,No,26-35
2014-08-27 12:05:13,33,Male,United States,CA,No,Yes,No,Never,More than 1000,No,Yes,No,No,No,No,Don't Know,Don't Know,Yes,No,No,No,No,Don't Know,No,No,26-35
2014-08-27 12:05:37,31,Male,United States,TX,No,No,No,Not applicable,26-100,No,Yes,Don't Know,Don't Know,No,No,Don't Know,Don't Know,No,No,some,Yes,Don't Know,Don't Know,No,No,26-35
2014-08-27 12:07:08,39,Male,United Kingdom,Not Applicable,Yes,No,Yes,Often,6-25,No,Yes,No,No,No,No,Don't Know,very difficult,Don't Know,No,some,No,No,Don't Know,No,Yes,36-45
2014-08-27 12:10:43,34,Female,United States,OR,No,Yes,Yes,Rarely,,Yes,Yes,Yes,Don't Know,No,Don't Know,Don't Know,Don't Know,Yes,Don't Know,some,some,No,No,Don't Know,No,26-35
2014-08-27 12:11:00,29,Female,United States,FL,No,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes,No,No,Don't Know,Don't Know,Don't Know,No,some,some,No,Don't Know,No,Yes,26-35
2014-08-27 12:11:07,32,Male,United States,IL,No,No,No,Not applicable,,No,Yes,Don't Know,No,No,Don't Know,Don't Know,Don't Know,No,No,some,some,No,No,Don't Know,No,26-35
2014-08-27 12:12:47,31,Male,United States,NY,No,No,No,Never,,No,Yes,Yes,Yes,Yes,Yes,Yes,somewhat easy,No,No,some,Yes,No,No,Yes,No,26-35
2014-08-27 12:13:30,40,Male,United States,TX,No,No,Yes,Sometimes,26-100,No,Yes,No,Yes,No,No,Yes,very difficult,No,No,Yes,Yes,Yes,Yes,No,No,36-45
2014-08-27 12:14:13,34,Male,United States,OH,No,No,No,Not applicable,26-100,No,Yes,Don't Know,No,No,No,Don't Know,somewhat easy,Don't Know,No,some,No,No,Don't Know,Don't Know,No,26-35
2014-08-27 12:15:11,18,Other/Unknown,Russia,Not Applicable,No,No,No,Not applicable,26-100,Yes,Yes,Yes,Yes,No,No,Yes,somewhat easy,No,No,Yes,Yes,Yes,Yes,Don't Know,No,18-25
2014-08-27 12:15:19,25,Female,Canada,Not Applicable,No,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes,No,Don't Know,Don't Know,Don't Know,Don't Know,No,some,Yes,No,Don't Know,Don't Know,No,26-35
2014-08-27 12:15:30,29,Male,United States,MN,No,No,No,Never,26-100,No,Yes,Don't Know,No,No,Don't Know,Don't Know,Don't Know,No,No,Yes,Yes,Don't Know,Don't Know,No,No,26-35
2014-08-27 12:16:21,24,Male,United States,MO,No,Yes,No,Rarely,26-100,No,Yes,Don't Know,Don't Know,No,Don't Know,Don't Know,somewhat easy,Don't Know,Don't Know,some,No,No,Don't Know,Don't Know,No,18-25
2014-08-27 12:17:01,31,Male,Mexico,Not Applicable,No,Yes,Yes,Sometimes,6-25,No,Yes,Don't Know,No,No,No,Don't Know,Don't Know,No,No,some,Yes,Don't Know,Yes,No,No,26-35
2014-08-27 12:18:02,33,Male,United States,AZ,No,No,Yes,Sometimes,6-25,No,Yes,No,Yes,No,No,Don't Know,somewhat easy,Don't Know,No,some,No,No,Don't Know,No,No,26-35
2014-08-27 12:18:04,30,Male,United States,IN,No,No,Yes,Often,1-5,No,Yes,No,Yes,No,No,Yes,somewhat easy,No,No,Yes,Yes,Don't Know,Don't Know,Yes,No,26-35
2014-08-27 12:18:14,26,Female,Canada,Not Applicable,No,Yes,Yes,Sometimes,26-100,No,No,No,Yes,No,No,No,very difficult,Yes,No,No,No,No,Don't Know,No,Yes,26-35
2014-08-27 12:18:38,44,Female,United States,MA,No,No,No,Never,,No,Yes,Yes,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,No,some,No,No,Don't Know,No,36-45
2014-08-27 12:19:52,25,Male,United States,NY,No,Yes,No,Not applicable,26-100,No,Yes,Don't Know,No,Don't Know,Don't Know,Don't Know,very easy,No,No,some,Yes,No,No,Don't Know,No,26-35
2014-08-27 12:20:10,33,Male,United States,WI,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,somewhat easy,No,No,some,Yes,Don't Know,Don't Know,Yes,No,26-35
2014-08-27 12:22:55,29,Male,United States,NY,No,No,No,Never,More than 1000,No,Yes,Yes,Don't Know,Yes,Don't Know,Don't Know,somewhat easy,No,No,some,Yes,No,No,Don't Know,No,26-35
2014-08-27 12:23:48,35,Male,United States,MO,No,Yes,No,Rarely,6-25,No,Yes,Yes,Don't Know,No,No,Yes,somewhat easy,No,No,some,Yes,No,No,Don't Know,No,36-45
2014-08-27 12:23:59,35,Male,United States,OR,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Don't Know,Don't Know,No,No,Don't Know,somewhat easy,No,No,some,Yes,No,Don't Know,No,No,36-45
2014-08-27 12:25:09,28,Male,Brazil,Not Applicable,No,Yes,Yes,Rarely,6-25,No,Yes,No,No,No,No,No,Don't Know,Don't Know,No,Yes,Yes,No,No,Don't Know,Yes,26-35
2014-08-27 12:28:12,34,Male,United States,TN,No,Yes,No,Never,6-25,Yes,Yes,Yes,No,No,No,Don't Know,Don't Know,Don't Know,No,No,No,No,No,Don't Know,No,26-35
2014-08-27 12:28:16,32,Male,United States,WA,No,No,Yes,Sometimes,26-100,No,Yes,Yes,No,Yes,Yes,Yes,somewhat difficult,Don't Know,No,some,Yes,No,Don't Know,Yes,No,26-35
2014-08-27 12:29:25,22,Male,United States,NY,No,No,Yes,Sometimes,,No,Yes,Yes,Yes,No,Don't Know,Yes,Don't Know,Yes,No,No,No,No,Yes,No,No,18-25
2014-08-27 12:31:02,28,Male,United States,CA,No,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes,Yes,Yes,Yes,somewhat easy,No,No,some,some,No,Don't Know,Yes,No,26-35
2014-08-27 12:31:03,45,Male,United States,MO,No,Yes,Yes,Rarely,6-25,Yes,Yes,Yes,Yes,No,Yes,Yes,very easy,No,No,Yes,Yes,Yes,Yes,Yes,No,46-55
2014-08-27 12:31:14,32,Male,United States,NY,No,No,No,Never,,No,Yes,Yes,Yes,No,Don't Know,Don't Know,Don't Know,Don't Know,No,some,some,No,No,Don't Know,No,26-35
2014-08-27 12:31:28,28,Male,United States,TX,No,No,No,Not applicable,More than 1000,No,Yes,Don't Know,No,No,Don't Know,Don't Know,Don't Know,Don't Know,No,some,No,No,Don't Know,Don't Know,No,26-35
2014-08-27 12:31:34,26,Male,United Kingdom,Not Applicable,No,No,No,Never,6-25,No,Yes,Don't Know,No,No,Don't Know,Don't Know,very easy,No,No,some,some,No,No,Don't Know,Yes,26-35
2014-08-27 12:31:41,21,Male,United Kingdom,Not Applicable,Yes,No,No,Often,1-5,Yes,No,No,Yes,No,No,Yes,very difficult,Yes,No,some,Yes,No,Don't Know,No,No,18-25
2014-08-27 12:31:41,27,Male,Canada,Not Applicable,No,No,No,Rarely,6-25,No,No,Yes,Yes,Yes,Yes,Yes,very easy,Don't Know,No,some,Yes,No,No,Don't Know,No,26-35
2014-08-27 12:31:43,18,Male,United States,CT,No,No,Yes,Rarely,1-5,Yes,Yes,No,No,No,No,Yes,very easy,No,No,some,No,No,No,Don't Know,No,18-25
2014-08-27 12:32:24,35,Male,United States,CO,No,No,No,Not applicable,26-100,Yes,Yes,Don't Know,Don't Know,No,Don't Know,Don't Know,Don't Know,No,No,some,Yes,Don't Know,Don't Know,Don't Know,No,36-45
2014-08-27 12:32:59,29,Male,United States,GA,No,No,No,Never,More than 1000,No,Yes,Yes,Yes,No,Yes,Don't Know,Don't Know,Yes,Yes,No,No,No,No,Don't Know,No,26-35
2014-08-27 12:33:00,25,Male,United States,DC,No,No,No,Not applicable,26-100,Yes,Yes,Don't Know,No,No,No,Don't Know,very easy,No,No,some,Yes,No,No,Don't Know,No,26-35
2014-08-27 12:33:23,33,Male,United States,MN,No,Yes,Yes,Sometimes,6-25,Yes,Yes,Don't Know,No,Don't Know,Don't Know,Yes,very easy,No,No,Yes,Yes,No,Don't Know,Yes,No,26-35
2014-08-27 12:33:36,36,Male,United States,WA,No,No,No,Often,6-25,No,Yes,Yes,No,No,No,Yes,Don't Know,Don't Know,No,No,No,No,No,Don't Know,No,36-45
2014-08-27 12:33:56,27,Male,Canada,Not Applicable,No,No,Yes,Never,,No,No,Yes,Don't Know,No,No,Don't Know,very difficult,Don't Know,No,some,Yes,No,Don't Know,No,Yes,26-35
2014-08-27 12:34:11,27,Male,United States,WA,No,Yes,No,Never,,No,Yes,Yes,No,Yes,Yes,Yes,Don't Know,Yes,No,some,No,No,Yes,Don't Know,No,26-35
2014-08-27 12:34:13,27,Male,United Kingdom,Not Applicable,No,No,No,Not applicable,6-25,No,Yes,No,No,No,No,Don't Know,Don't Know,No,No,some,some,No,No,Don't Know,No,26-35
2014-08-27 12:34:35,32,Male,United States,OR,No,No,Yes,Rarely,,No,Yes,Yes,Yes,No,Yes,Yes,Don't Know,Yes,No,No,Yes,No,No,Don't Know,No,26-35
2014-08-27 12:34:48,31,Male,United Kingdom,Not Applicable,No,Yes,No,Sometimes,6-25,No,Yes,No,No,No,No,Don't Know,somewhat easy,Don't Know,Don't Know,No,No,No,No,Yes,No,26-35
2014-08-27 12:34:51,19,Male,Slovenia,Not Applicable,No,No,Yes,Sometimes,6-25,No,Yes,Don't Know,No,No,No,Don't Know,somewhat easy,Yes,Yes,some,No,No,No,Don't Know,No,18-25
2014-08-27 12:34:57,33,Male,United States,IL,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes,No,No,Don't Know,very easy,Don't Know,No,Yes,some,No,Yes,No,No,26-35
